username,followers,avg_likes,eng_rate_computed,tier,cluster,cluster_label,roi_score,score_grade,country,follower_range,engagement_tier,followers_M,score_grade_clean,roi_rank
j.m,41900000.0,14200000.0,33.89021479713604,Established Mega (10M–50M),3,💬 Engagement King,82.56,🥇 Tier A — Premium,,10M–50M,High (5%+),41.9,Tier A — Premium,1
thv,49300000.0,15400000.0,31.237322515212984,Established Mega (10M–50M),3,💬 Engagement King,80.62,🥇 Tier A — Premium,,10M–50M,High (5%+),49.3,Tier A — Premium,2
rkive,37000000.0,10900000.0,29.45945945945946,Established Mega (10M–50M),3,💬 Engagement King,75.64,🥇 Tier A — Premium,,10M–50M,High (5%+),37.0,Tier A — Premium,3
cristiano,475800000.0,8700000.0,1.828499369482976,Icon (100M+),2,📡 Reach Giant,59.57,🥈 Tier B — Strong,Spain,100M+,Low (<2%),475.8,Tier B — Strong,4
kyliejenner,366200000.0,8300000.000000001,2.2665210267613327,Icon (100M+),2,📡 Reach Giant,58.1,🥈 Tier B — Strong,United States,100M+,Medium (2–5%),366.2,Tier B — Strong,5
selenagomez,342700000.0,6200000.0,1.8091625328275456,Icon (100M+),2,📡 Reach Giant,56.82,🥈 Tier B — Strong,United States,100M+,Low (<2%),342.7,Tier B — Strong,6
leomessi,357300000.0,6800000.0,1.9031626084522808,Icon (100M+),2,📡 Reach Giant,56.45,🥈 Tier B — Strong,,100M+,Low (<2%),357.3,Tier B — Strong,7
kendalljenner,254000000.0,5500000.0,2.1653543307086616,Icon (100M+),2,📡 Reach Giant,54.07,🥈 Tier B — Strong,United States,100M+,Medium (2–5%),254.0,Tier B — Strong,8
arianagrande,327700000.0,3700000.0,1.1290814769606348,Icon (100M+),2,📡 Reach Giant,53.53,🥈 Tier B — Strong,United States,100M+,Low (<2%),327.7,Tier B — Strong,9
kimkardashian,329200000.0,3500000.0,1.06318347509113,Icon (100M+),2,📡 Reach Giant,52.92,🥈 Tier B — Strong,United States,100M+,Low (<2%),329.2,Tier B — Strong,10
beyonce,272800000.0,3600000.0,1.3196480938416422,Icon (100M+),2,📡 Reach Giant,52.62,🥈 Tier B — Strong,United States,100M+,Low (<2%),272.8,Tier B — Strong,11
zendaya,150700000.0,5800000.0,3.8487060384870606,Icon (100M+),2,📡 Reach Giant,52.28,🥈 Tier B — Strong,United States,100M+,Medium (2–5%),150.7,Tier B — Strong,12
jenniferaniston,40700000.0,4600000.0,11.302211302211305,Established Mega (10M–50M),0,⚡ Power Influencer,52.21,🥈 Tier B — Strong,,10M–50M,High (5%+),40.7,Tier B — Strong,13
